"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Management","0","Get User By ID","1","0","","0"
"0","Authentication","0","Register","1","0","","0"
"0","Authentication","0","Google OAuth","1","0","","0"
"0","Feature Flags","2","Admin Feature Flag Management","0","0","","0"
"0","Authentication","0","Reset Password","1","0","","0"
"0","Authentication","0","Login","1","0","","0"
"0","Authentication","0","Auth Flows","1","0","","0"
"0","User Management","0","Self Profile Update","2","0","","0"
"0","Authentication","1","TOTP 2FA Disable","0","0","","0"
"0","Infrastructure","0","Health Check","2","0","","0"
"0","Audit","0","Audit Log API","1","0","","0"
"0","User Management","0","User List API","1","0","","0"
"0","Authentication","1","TOTP 2FA Recovery Codes","0","0","","0"
"0","Authentication","1","TOTP 2FA Login Verification","0","0","","0"
"0","Feature Flags","0","Flag Evaluation","1","0","","0"
"0","","1","Rate Limit Admin","0","0","","0"
"0","Authentication","2","TOTP 2FA Setup","0","0","","0"
"0","Framework","0","Configuration","4","0","","0"
"0","Notifications","2","Notification List","0","0","","0"
"0","User Management","1","Assign Partner Level","0","0","","0"
"0","User Management","1","Create User","0","0","","0"
"0","User Management","1","Delete User","0","0","","0"
"0","User Management","0","Remove Partner Level","1","0","","0"
"0","User Management","1","Update User Tier","0","0","","0"
"0","User Management","1","User Search and Filter","0","0","","0"
"0","User Management","1","Update User Status","0","0","","0"
"0","Infrastructure","0","API Documentation","2","0","","0"
"0","User Management","0","Update User Profile","1","0","","0"
"0","Framework","0","Allure Integration","1","0","","0"
"0","User Management","0","Change Password","1","0","","0"
"0","Authentication","0","Password Reset Flow","1","0","","0"
"0","Authentication","0","TOTP 2FA Status","1","0","","0"
"0","Authentication","0","Forgot Password","1","0","","0"
