"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","117","Google OAuth oauth_state cookie is HttpOnly","Regression Tests","Mon Apr 27 05:19:11 UTC 2026","passed","Mon Apr 27 05:19:11 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthGoogleOAuthTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthGoogleOAuthTest","googleOAuthStateCookieIsHttpOnly"
"","43","Create flag with key containing spaces returns 400","Regression Tests","Mon Apr 27 05:19:52 UTC 2026","passed","Mon Apr 27 05:19:52 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","Regression","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","createFlagWithKeyContainingSpaces_returns400"
"","18","Reset password with empty JSON object returns 400","Regression Tests","Mon Apr 27 05:19:34 UTC 2026","passed","Mon Apr 27 05:19:34 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthResetPasswordTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthResetPasswordTest","resetPasswordWithEmptyJsonObjectReturns400"
"","69","Toggle flag changes enabled state","Regression Tests","Mon Apr 27 05:19:54 UTC 2026","passed","Mon Apr 27 05:19:54 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","Regression","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","toggleFlagChangesEnabledState"
"","210","Filter notifications by category returns 200","Regression Tests","Mon Apr 27 05:19:51 UTC 2026","passed","Mon Apr 27 05:19:51 UTC 2026","ua.kpi.sc.test.api.tests.notification.NotificationListTest","Regression","ua.kpi.sc.test.api.tests.notification.NotificationListTest","shouldFilterByCategory"
"","27","Logout with invalid bearer token returns 401","Regression Tests","Mon Apr 27 05:19:48 UTC 2026","passed","Mon Apr 27 05:19:48 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthLogoutTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthLogoutTest","logoutWithInvalidTokenReturns401"
"","1067","GET /logout returns 405","Regression Tests","Mon Apr 27 05:19:42 UTC 2026","passed","Mon Apr 27 05:19:43 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthLogoutTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthLogoutTest","logoutMethodNotAllowedGet"
"","182","Create flag and verify it appears in evaluation endpoint","Regression Tests","Mon Apr 27 05:19:50 UTC 2026","passed","Mon Apr 27 05:19:50 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagLifecycleTest","Regression","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagLifecycleTest","createFlagAndVerifyInEvaluationEndpoint"
"","18","Register with digits in name returns 400","Regression Tests","Mon Apr 27 05:19:37 UTC 2026","passed","Mon Apr 27 05:19:37 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthRegisterTest","registerWithNameContainingDigitsReturns400"
"","23","Forgot password returns 204 for non-existent email (enumeration prevention)","Regression Tests","Mon Apr 27 05:19:31 UTC 2026","passed","Mon Apr 27 05:19:31 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthForgotPasswordTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthForgotPasswordTest","forgotPasswordReturns204ForNonExistentEmail"
"","146","Create flag with duplicate key returns 409","Regression Tests","Mon Apr 27 05:19:51 UTC 2026","passed","Mon Apr 27 05:19:51 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","Regression","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","createFlagDuplicateKeyReturns409"
"","965","Access token may still be valid for /me after logout (stateless JWT)","Regression Tests","Mon Apr 27 05:19:33 UTC 2026","passed","Mon Apr 27 05:19:34 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthLogoutTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthLogoutTest","logoutAccessTokenStillValidForMe"
"","356","Basic user cannot create rules","Regression Tests","Mon Apr 27 05:19:07 UTC 2026","passed","Mon Apr 27 05:19:07 UTC 2026","ua.kpi.sc.test.api.tests.ratelimit.RateLimitAdminTest","Regression","ua.kpi.sc.test.api.tests.ratelimit.RateLimitAdminTest","createRule_basicUser_returns403"
"","116","Filter audit logs by entity type returns filtered results","Regression Tests","Mon Apr 27 05:19:13 UTC 2026","passed","Mon Apr 27 05:19:13 UTC 2026","ua.kpi.sc.test.api.tests.audit.AuditTest","Regression","ua.kpi.sc.test.api.tests.audit.AuditTest","filterByEntityType_returnsFilteredResults"
"","839","Logout with cookie-based auth may or may not be accepted","Regression Tests","Mon Apr 27 05:19:47 UTC 2026","passed","Mon Apr 27 05:19:48 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthLogoutTest","Regression","ua.kpi.sc.test.api.tests.auth.AuthLogoutTest","logoutWithCookieAuthWorks"
